ID	Batiment	Momentjour	Face	Emplacement	Bait	Age_building	Date	Tunder_mean	Tground_mean	xcoord	ycoord
S10noonEA2miel	S10	noon	E	A2	miel	45	1	29.4	31.6	729564.2572	5832025.996
S10noonEA2thon	S10	noon	E	A2	thon	45	1	29.4	31.6	729564.2572	5832025.996
S10noonEA3miel	S10	noon	E	A3	miel	45	1	29.4	31.6	729563.7272	5832005.447
S10noonEA3thon	S10	noon	E	A3	thon	45	1	29.4	31.6	729563.7272	5832005.447
S10noonEA4miel	S10	noon	E	A4	miel	45	1	29.4	31.6	729563.7861	5832001.384
S10noonEA4thon	S10	noon	E	A4	thon	45	1	29.4	31.6	729563.7861	5832001.384
S10noonEA5miel	S10	noon	E	A5	miel	45	1	29.4	31.6	729563.6095	5831997.38
S10noonEA5thon	S10	noon	E	A5	thon	45	1	29.4	31.6	729563.6095	5831997.38
S10noonEB1miel	S10	noon	E	B1	miel	45	1	29.4	31.6	729569.2031	5832030.707
S10noonEB1thon	S10	noon	E	B1	thon	45	1	29.4	31.6	729569.2031	5832030.707
S10noonEB2miel	S10	noon	E	B2	miel	45	1	29.4	31.6	729569.2031	5832025.937
S10noonEB2thon	S10	noon	E	B2	thon	45	1	29.4	31.6	729569.2031	5832025.937
S10noonEB3miel	S10	noon	E	B3	miel	45	1	29.4	31.6	729569.9097	5832005.506
S10noonEB3thon	S10	noon	E	B3	thon	45	1	29.4	31.6	729569.9097	5832005.506
S10noonEB4miel	S10	noon	E	B4	miel	45	1	29.4	31.6	729569.3797	5832001.149
S10noonEB4thon	S10	noon	E	B4	thon	45	1	29.4	31.6	729569.3797	5832001.149
S10noonEB5miel	S10	noon	E	B5	miel	45	1	29.4	31.6	729567.9666	5831996.438
S10noonEB5thon	S10	noon	E	B5	thon	45	1	29.4	31.6	729567.9666	5831996.438
S10noonNA1miel	S10	noon	N	A1	miel	45	1	19.7	20.2	729538.4892	5832031.752
S10noonNA1thon	S10	noon	N	A1	thon	45	1	19.7	20.2	729538.4892	5832031.752
S10noonNA2miel	S10	noon	N	A2	miel	45	1	19.7	20.2	729543.7885	5832031.693
S10noonNA2thon	S10	noon	N	A2	thon	45	1	19.7	20.2	729543.7885	5832031.693
S10noonNA3miel	S10	noon	N	A3	miel	45	1	19.7	20.2	729549.1466	5832031.634
S10noonNA3thon	S10	noon	N	A3	thon	45	1	19.7	20.2	729549.1466	5832031.634
S10noonNA4miel	S10	noon	N	A4	miel	45	1	19.7	20.2	729554.3869	5832031.576
S10noonNA4thon	S10	noon	N	A4	thon	45	1	19.7	20.2	729554.3869	5832031.576
S10noonNA5miel	S10	noon	N	A5	miel	45	1	19.7	20.2	729559.2151	5832031.693
S10noonNA5thon	S10	noon	N	A5	thon	45	1	19.7	20.2	729559.2151	5832031.693
S10noonNB1miel	S10	noon	N	B1	miel	45	1	19.7	20.2	729538.4892	5832035.521
S10noonNB1thon	S10	noon	N	B1	thon	45	1	19.7	20.2	729538.4892	5832035.521
S10noonNB2miel	S10	noon	N	B2	miel	45	1	19.7	20.2	729543.7296	5832035.521
S10noonNB2thon	S10	noon	N	B2	thon	45	1	19.7	20.2	729543.7296	5832035.521
S10noonNB3miel	S10	noon	N	B3	miel	45	1	19.7	20.2	729549.0288	5832035.521
S10noonNB3thon	S10	noon	N	B3	thon	45	1	19.7	20.2	729549.0288	5832035.521
S10noonNB4miel	S10	noon	N	B4	miel	45	1	19.7	20.2	729554.3869	5832035.697
S10noonNB4thon	S10	noon	N	B4	thon	45	1	19.7	20.2	729554.3869	5832035.697
S10noonNB5miel	S10	noon	N	B5	miel	45	1	19.7	20.2	729559.274	5832035.638
S10noonNB5thon	S10	noon	N	B5	thon	45	1	19.7	20.2	729559.274	5832035.638
S10noonSA1miel	S10	noon	S	A1	miel	45	1	25.9	29.2	729559.0416	5831993.194
S10noonSA1thon	S10	noon	S	A1	thon	45	1	25.9	29.2	729559.0416	5831993.194
S10noonSA2miel	S10	noon	S	A2	miel	45	1	25.9	29.2	729553.9779	5831993.135
S10noonSA2thon	S10	noon	S	A2	thon	45	1	25.9	29.2	729553.9779	5831993.135
S10noonSA3miel	S10	noon	S	A3	miel	45	1	25.9	29.2	729548.9142	5831993.194
S10noonSA3thon	S10	noon	S	A3	thon	45	1	25.9	29.2	729548.9142	5831993.194
S10noonSA4miel	S10	noon	S	A4	miel	45	1	25.9	29.2	729543.6738	5831993.253
S10noonSA4thon	S10	noon	S	A4	thon	45	1	25.9	29.2	729543.6738	5831993.253
S10noonSA5miel	S10	noon	S	A5	miel	45	1	25.9	29.2	729538.3157	5831993.37
S10noonSA5thon	S10	noon	S	A5	thon	45	1	25.9	29.2	729538.3157	5831993.37
S10noonSB1miel	S10	noon	S	B1	miel	45	1	25.9	29.2	729559.0416	5831988.601
S10noonSB1thon	S10	noon	S	B1	thon	45	1	25.9	29.2	729559.0416	5831988.601
S10noonSB2miel	S10	noon	S	B2	miel	45	1	25.9	29.2	729554.0956	5831988.778
S10noonSB2thon	S10	noon	S	B2	thon	45	1	25.9	29.2	729554.0956	5831988.778
S10noonSB3miel	S10	noon	S	B3	miel	45	1	25.9	29.2	729548.8553	5831988.601
S10noonSB3thon	S10	noon	S	B3	thon	45	1	25.9	29.2	729548.8553	5831988.601
S10noonSB4miel	S10	noon	S	B4	miel	45	1	25.9	29.2	729543.4972	5831988.66
S10noonSB4thon	S10	noon	S	B4	thon	45	1	25.9	29.2	729543.4972	5831988.66
S10noonSB5miel	S10	noon	S	B5	miel	45	1	25.9	29.2	729538.1979	5831988.837
S10noonSB5thon	S10	noon	S	B5	thon	45	1	25.9	29.2	729538.1979	5831988.837
S10noonWA1miel	S10	noon	W	A1	miel	45	1	24.1	32.5	729533.6393	5832004.564
S10noonWA1thon	S10	noon	W	A1	thon	45	1	24.1	32.5	729533.6393	5832004.564
S10noonWA2miel	S10	noon	W	A2	miel	45	1	24.1	32.5	729533.2272	5832010.393
S10noonWA2thon	S10	noon	W	A2	thon	45	1	24.1	32.5	729533.2272	5832010.393
S10noonWA3miel	S10	noon	W	A3	miel	45	1	24.1	32.5	729533.2272	5832016.222
S10noonWA3thon	S10	noon	W	A3	thon	45	1	24.1	32.5	729533.2272	5832016.222
S10noonWA4miel	S10	noon	W	A4	miel	45	1	24.1	32.5	729533.2272	5832021.521
S10noonWA4thon	S10	noon	W	A4	thon	45	1	24.1	32.5	729533.2272	5832021.521
S10noonWA5miel	S10	noon	W	A5	miel	45	1	24.1	32.5	729533.1683	5832027.174
S10noonWA5thon	S10	noon	W	A5	thon	45	1	24.1	32.5	729533.1683	5832027.174
S10noonWB1miel	S10	noon	W	B1	miel	45	1	24.1	32.5	729527.6924	5832004.505
S10noonWB1thon	S10	noon	W	B1	thon	45	1	24.1	32.5	729527.6924	5832004.505
S10noonWB2miel	S10	noon	W	B2	miel	45	1	24.1	32.5	729527.5158	5832010.57
S10noonWB2thon	S10	noon	W	B2	thon	45	1	24.1	32.5	729527.5158	5832010.57
S10noonWB3miel	S10	noon	W	B3	miel	45	1	24.1	32.5	729527.1625	5832016.163
S10noonWB3thon	S10	noon	W	B3	thon	45	1	24.1	32.5	729527.1625	5832016.163
S10noonWB4miel	S10	noon	W	B4	miel	45	1	24.1	32.5	729527.4569	5832021.345
S10noonWB4thon	S10	noon	W	B4	thon	45	1	24.1	32.5	729527.4569	5832021.345
S10noonWB5miel	S10	noon	W	B5	miel	45	1	24.1	32.5	729527.4569	5832027.115
S10noonWB5thon	S10	noon	W	B5	thon	45	1	24.1	32.5	729527.4569	5832027.115
S11afternoonEA1miel	S11	afternoon	E	A1	miel	39	7	26.8	27.1	730285.0575	5831661.119
S11afternoonEA1thon	S11	afternoon	E	A1	thon	39	7	26.8	27.1	730285.0575	5831661.119
S11afternoonEA2miel	S11	afternoon	E	A2	miel	39	7	26.8	27.1	730277.2143	5831659.618
S11afternoonEA2thon	S11	afternoon	E	A2	thon	39	7	26.8	27.1	730277.2143	5831659.618
S11afternoonEA3miel	S11	afternoon	E	A3	miel	39	7	26.8	27.1	730276.4616	5831656.439
S11afternoonEA3thon	S11	afternoon	E	A3	thon	39	7	26.8	27.1	730276.4616	5831656.439
S11afternoonEA4miel	S11	afternoon	E	A4	miel	39	7	26.8	27.1	730275.5461	5831651.862
S11afternoonEA4thon	S11	afternoon	E	A4	thon	39	7	26.8	27.1	730275.5461	5831651.862
S11afternoonEA5miel	S11	afternoon	E	A5	miel	39	7	26.8	27.1	730274.6814	5831647.182
S11afternoonEA5thon	S11	afternoon	E	A5	thon	39	7	26.8	27.1	730274.6814	5831647.182
S11afternoonEB1miel	S11	afternoon	E	B1	miel	39	7	26.8	27.1	730289.5334	5831660.356
S11afternoonEB1thon	S11	afternoon	E	B1	thon	39	7	26.8	27.1	730289.5334	5831660.356
S11afternoonEB2miel	S11	afternoon	E	B2	miel	39	7	26.8	27.1	730282.3617	5831659.288
S11afternoonEB2thon	S11	afternoon	E	B2	thon	39	7	26.8	27.1	730282.3617	5831659.288
S11afternoonEB3miel	S11	afternoon	E	B3	miel	39	7	26.8	27.1	730281.6497	5831655.371
S11afternoonEB3thon	S11	afternoon	E	B3	thon	39	7	26.8	27.1	730281.6497	5831655.371
S11afternoonEB4miel	S11	afternoon	E	B4	miel	39	7	26.8	27.1	730280.7341	5831650.845
S11afternoonEB4thon	S11	afternoon	E	B4	thon	39	7	26.8	27.1	730280.7341	5831650.845
S11afternoonEB5miel	S11	afternoon	E	B5	miel	39	7	26.8	27.1	730280.2255	5831646.165
S11afternoonEB5thon	S11	afternoon	E	B5	thon	39	7	26.8	27.1	730280.2255	5831646.165
S11afternoonNA1miel	S11	afternoon	N	A1	miel	39	7	27.3	27.5	730268.9291	5831676.198
S11afternoonNA1thon	S11	afternoon	N	A1	thon	39	7	27.3	27.5	730268.9291	5831676.198
S11afternoonNA2miel	S11	afternoon	N	A2	miel	39	7	27.3	27.5	730271.9301	5831678.894
S11afternoonNA2thon	S11	afternoon	N	A2	thon	39	7	27.3	27.5	730271.9301	5831678.894
S11afternoonNA3miel	S11	afternoon	N	A3	miel	39	7	27.3	27.5	730276.2534	5831679.097
